A0A0E3KBH3	2-oxoacid:ferredoxin oxidoreductase subunit beta (OFOR) (EC 1.2.7.11)
Q4JAJ6	DNA-directed RNA polymerase subunit Rpo13 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit F)
Q50754	H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit C (EC 1.8.98.5) (CoB--CoM heterodisulfide reductase iron-sulfur subunit C)
Q50773	Tetrahydromethanopterin S-methyltransferase subunit F (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit F)
Q50774	Tetrahydromethanopterin S-methyltransferase subunit G (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit G)
Q51567	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
Q51601	2-halobenzoate 1,2-dioxygenase large subunit (EC 1.14.12.13) (2-chlorobenzoate 1,2-dioxygenase)
Q53RM0	Magnesium-chelatase subunit ChlI, chloroplastic (Mg-chelatase subunit I) (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase subunit ChlI) (Protein CHLORINA 9)
Q55843	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)
Q56259	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
Q56589	Na(+)-translocating NADH-quinone reductase subunit E (Na(+)-NQR subunit E) (Na(+)-translocating NQR subunit E) (EC 7.2.1.1) (NQR complex subunit E) (NQR-1 subunit E)
Q56724	Methylmalonyl-CoA decarboxylase subunit delta (EC 7.2.4.3)
Q57079	Methylmalonyl-CoA decarboxylase subunit alpha (EC 7.2.4.3) (Carboxyltransferase)
Q57095	Na(+)-translocating NADH-quinone reductase subunit D (Na(+)-NQR subunit D) (Na(+)-translocating NQR subunit D) (EC 7.2.1.1) (NQR complex subunit D) (NQR-1 subunit D)
Q57286	Methylmalonyl-CoA decarboxylase subunit beta (EC 7.2.4.3)
Q57490	Methylmalonyl-CoA decarboxylase subunit epsilon (EC 7.2.4.3)
Q57649	DNA-directed RNA polymerase subunit Rpo10 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit N) (mjN)
Q57764	Pyruvoyl-dependent arginine decarboxylase (PvlArgDC) (EC 4.1.1.19) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha]
Q57840	DNA-directed RNA polymerase subunit Rpo7 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit E) (mjE) (DNA-directed RNA polymerase subunit E')
Q57888	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase (EC 4.3.1.32) (FO synthase subunit 1)
Q57977	Ribosomal RNA small subunit methyltransferase Nep1 (EC 2.1.1.-) (16S rRNA (pseudouridine-N1-)-methyltransferase Nep1) (16S rRNA Psi914 methyltransferase)
Q58826	5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase (EC 2.5.1.147) (FO synthase subunit 2)
Q59111	Glutaconate CoA-transferase subunit A (EC 2.8.3.12) (GCT large subunit)
Q59112	Glutaconate CoA-transferase subunit B (EC 2.8.3.12) (GCT small subunit)
Q59458	Ribulose bisphosphate carboxylase large chain 1 (RuBisCO large subunit 1) (EC 4.1.1.39)
Q59460	Ribulose bisphosphate carboxylase large chain 2 (RuBisCO large subunit 2) (EC 4.1.1.39)
Q59584	Tetrahydromethanopterin S-methyltransferase subunit B (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit B)
Q59647	Nitric oxide reductase subunit B (EC 1.7.2.5) (NOR large subunit) (Nitric oxide reductase cytochrome b subunit)
Q5JDM8	DNA-directed RNA polymerase subunit Rpo12 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit P)
Q5JE80	Archaeosine synthase subunit beta (EC 4.3.2.-) (Archaeosine synthase, q0kN-tRNA lyase subunit) (Radical SAM enzyme for archaeosine formation) (RaSEA)
Q5JHG7	Archaeosine synthase subunit alpha (EC 4.3.3.-) (Archaeosine synthase, lysine transferase subunit)
Q5JJC9	DNA-directed RNA polymerase subunit Rpo10 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit N)
Q5P5G3	Acetophenone carboxylase beta subunit (EC 6.4.1.8) (Acetophenone carboxylase 15 kDa subunit)
Q5P5G6	Acetophenone carboxylase epsilon subunit (EC 6.4.1.8) (Acetophenone carboxylase 34 kDa subunit)
Q5SII2	Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.-) (EC 2.1.1.178) (rRNA (cytosine-C(5)-)-methyltransferase RsmF)
Q5SJ79	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c ba(3) subunit I) (Cytochrome c oxidase polypeptide I) (Cytochrome cba3 subunit 1)
Q5SJ80	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c ba(3) subunit II) (Cytochrome c oxidase polypeptide II) (Cytochrome cba3 subunit 2)
Q5SKZ7	NADH-quinone oxidoreductase subunit 15 (EC 7.1.1.-) (NADH dehydrogenase I chain 15) (NDH-1 subunit 15)
Q5ZLC5	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)
Q5ZLK5	Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)
Q5ZMS3	Eukaryotic translation initiation factor 2 subunit 3 (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma) (eIF2-gamma)
Q60186	V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A)
Q607G3	Particulate methane monooxygenase beta subunit (EC 1.14.18.3) (Methane monooxygenase A subunit) (Particulate methane monooxygenase 27 kDa subunit) (Particulate methane monooxygenase hydroxylase 26 kDa subunit) (Particulate methane monooxygenase hydroxylase beta subunit) (pMMO-H beta subunit)
Q688T8	Glucose-1-phosphate adenylyltransferase large subunit 3, chloroplastic/amyloplastic (OsAGPL3) (OsAPL3) (EC 2.7.7.27) (ADP-glucose pyrophosphorylase AGPL3) (ADP-glucose synthase AGPL3)
Q69S39	Cytochrome b6-f complex iron-sulfur subunit, chloroplastic (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein) (Rieske iron-sulfur protein) (ISP) (RISP)
Q69T99	Glucose-1-phosphate adenylyltransferase small subunit 1, chloroplastic/amyloplastic (OsAGPS1) (OsAPS1) (EC 2.7.7.27) (ADP-glucose pyrophosphorylase AGPS1) (ADP-glucose synthase AGPS1)
Q6AVT2	Glucose-1-phosphate adenylyltransferase large subunit 1, chloroplastic/amyloplastic (OsAGPL1) (OsAPL1) (EC 2.7.7.27) (ADP-glucose pyrophosphorylase AGPL1) (ADP-glucose synthase AGPL1)
Q6DQL1	Succinate--CoA ligase [ADP-forming] subunit alpha-2, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-2) (SCS-alpha-2)
Q6EMS9	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)
Q6LY39	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit C1 (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase iron-sulfur subunit C1)
Q6LYD7	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit C2 (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase iron-sulfur subunit C2)
Q6STM1	2,5-diketocamphane 1,2-monooxygenase 1 (2,5-DKCMO 1) (2,5-diketocamphane monooxygenase 1) (EC 1.14.14.108) (2,5-diketocamphane 1,2-monooxygenase oxygenating component) (2,5-diketocamphane 1,2-monooxygenase oxygenating subunit) (Camphor 1,2-monooxygenase) (Type II Baeyer-Villiger monooxygenase) (Type II BVMO)
Q6T178	Phospholipase A2 (MtsPLA2) [Cleaved into: Large subunit (EC 3.1.1.4); Small subunit]
Q6TEK3	Vitamin K epoxide reductase complex subunit 1-like protein 1 (VKORC1-like protein 1) (EC 1.17.4.4)
Q6ZDY8	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (FP)
Q75K18	Signal recognition particle subunit SRP54 (EC 3.6.5.4) (Signal recognition particle 54 kDa protein)
Q764B9	Anthranilate synthase beta subunit 2, chloroplastic (OsASB2) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component 2-2)
Q76NM6	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar proton pump subunit alpha)
Q79VD7	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I)
Q79VE9	Cytochrome bc1 complex cytochrome b subunit (EC 7.1.1.8) (Cytochrome bc1 reductase complex subunit QcrB) (Menaquinol--cytochrome c reductase cytochrome b subunit)
Q79VJ3	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)
Q7DBA7	Phenolic acid decarboxylase (PAD) (4-hydroxybenzoate decarboxylase) (4-hydroxybenzoate DC) (EC 4.1.1.61) (Phenolic acid decarboxylase subunit C) (Vanillate decarboxylase) (Vanillate DC) (EC 4.1.1.-)
Q7JZB4	Mannose-1-phosphate guanylyltransferase catalytic subunit beta (EC 2.7.7.13) (GDP-mannose pyrophosphorylase B) (GTP-mannose-1-phosphate guanylyltransferase beta)
Q7K5K3	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (EC 1.2.4.1)
Q7LXK4	DNA-directed RNA polymerase subunit Rpo4 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit F)
Q7M826	8-methylmenaquinol:fumarate reductase iron-sulfur subunit (MFR iron-sulfur subunit) (EC 1.3.5.-)
Q7M827	8-methylmenaquinol:fumarate reductase flavoprotein subunit (MFR flavoprotein subunit) (EC 1.3.5.-)
Q7NG86	Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)
Q7SIC0	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)
Q7WY77	5-oxoprolinase subunit C (5-OPase subunit C) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit C) (KipI antagonist) (Protein KipA)
Q7XUS2	Anthranilate synthase beta subunit 1, chloroplastic (OsASB1) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component 2-1)
Q80XC2	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A (EC 2.1.1.220) (mRNA methyladenosine-N(1)-methyltransferase catalytic subunit TRMT61A) (EC 2.1.1.-) (tRNA(m1A58)-methyltransferase subunit TRMT61A) (tRNA(m1A58)MTase subunit TRMT61A)
Q81HT3	Quinol oxidase subunit 2 (EC 1.10.3.-) (Cytochrome aa(3) subunit 2) (Quinol oxidase polypeptide II)
Q84BZ3	Anthranilate 1,2-dioxygenase large subunit (EC 1.14.12.1)
Q84F15	4-hydroxyphenylacetate decarboxylase small subunit (HPA decarboxylase small subunit) (EC 4.1.1.83) (4-hydroxyphenylacetate decarboxylase gamma subunit) (p-hydroxyphenylacetate decarboxylase small subunit)
Q84LB6	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)
Q85G47	Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)
Q86JJ0	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit trmt61a (EC 2.1.1.220) (tRNA(m1A58)-methyltransferase subunit trmt61A) (tRNA(m1A58)MTase subunit trmt61A)
Q88FX9	Nicotinate dehydrogenase subunit A (EC 1.17.2.1) (Nicotinate degradation protein A) (Nicotinate dehydrogenase small subunit)
Q8G2P8	Urease subunit alpha 1 (EC 3.5.1.5) (Urea amidohydrolase subunit alpha 1)
Q8GTQ9	Succinate--CoA ligase [ADP-forming] subunit alpha-1, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-1) (SCS-alpha-1)
Q8H1Y0	Pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial (PDHE1-A) (EC 1.2.4.1) (Protein IAA-CONJUGATE-RESISTANT 4)
Q8L1A7	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
Q8L3B0	NADH-dependent phenylglyoxylate dehydrogenase subunit epsilon (EC 1.2.1.58) (Phenylglyoxylate:NAD oxidoreductase) (Phenylglyoxylate:acceptor oxidoreductase)
Q8L3B1	NADH-dependent phenylglyoxylate dehydrogenase subunit alpha (EC 1.2.1.58) (Phenylglyoxylate:NAD oxidoreductase) (Phenylglyoxylate:acceptor oxidoreductase)
Q8L3B3	NADH-dependent phenylglyoxylate dehydrogenase subunit gamma (EC 1.2.1.58) (Phenylglyoxylate:NAD oxidoreductase) (Phenylglyoxylate:acceptor oxidoreductase)
Q8LAD2	Succinate--CoA ligase [ADP-forming] subunit alpha-2, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-2) (SCS-alpha-2)
Q8LG77	Isocitrate dehydrogenase [NAD] catalytic subunit 6, mitochondrial (EC 1.1.1.41) (IDH-VI) (Isocitric dehydrogenase 6) (NAD(+)-specific ICDH 6)
Q8PU58	F(420)H(2) dehydrogenase subunit A (EC 1.5.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit A) (F(420)H(2)-dependent phenazine oxidoreductase subunit A) (FPO subunit A) (Methanophenazine hydrogenase subunit A) (Methanosarcina-phenazine hydrogenase subunit A)
Q8PU59	F(420)H(2) dehydrogenase subunit H (EC 1.5.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit H) (F(420)H(2)-dependent phenazine oxidoreductase subunit H) (FPO subunit H) (Methanophenazine hydrogenase subunit H) (Methanosarcina-phenazine hydrogenase subunit H)
Q8PU61	F(420)H(2) dehydrogenase subunit J (EC 1.5.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit J) (F(420)H(2)-dependent phenazine oxidoreductase subunit J) (FPO subunit J) (Methanophenazine hydrogenase subunit J) (Methanosarcina-phenazine hydrogenase subunit J)
Q8PVW3	Dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit D (EC 1.8.98.1) (CoB--CoM heterodisulfide reductase iron-sulfur subunit D) (Coenzyme B:coenzyme M:methanophenazine oxidoreductase subunit D)
Q8R050	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Eukaryotic peptide chain release factor subunit 3a) (eRF3a) (EC 3.6.5.-) (G1 to S phase transition protein 1 homolog)
Q8RHX8	Lysine 5,6-aminomutase beta subunit (5,6-LAM) (EC 5.4.3.3) (D-lysine 5,6-aminomutase beta subunit) (L-beta-lysine 5,6-aminomutase beta subunit)
Q8SV03	RNA polymerase II subunit A C-terminal domain phosphatase (EC 3.1.3.16) (CTD phosphatase FCP1)
Q8THG6	[Methyl coenzyme M reductase]-L-arginine C-5-methyltransferase (EC 2.1.1.379) ([Methyl-coenzyme M reductase subunit alpha]-arginine C-methyltransferase)
Q8THK1	Archaeosine synthase subunit beta (EC 4.3.2.-) (Archaeosine synthase, q0kN-tRNA lyase subunit) (Radical SAM enzyme for archaeosine formation) (RaSEA)
Q8TIB8	Ferredoxin/F(420)H(2)-dependent CoB-CoM heterodisulfide reductase subunit B (EC 1.8.7.3) (EC 1.8.98.4) (Coenzyme F420:CoB-CoM heterodisulfide,ferredoxin reductase subunit B) (Ferredoxin:CoB-CoM heterodisulfide reductase subunit B)
Q8TIB9	Ferredoxin/F(420)H(2)-dependent CoB-CoM heterodisulfide reductase subunit C (EC 1.8.7.3) (EC 1.8.98.4) (Coenzyme F420:CoB-CoM heterodisulfide,ferredoxin reductase subunit C) (Ferredoxin:CoB-CoM heterodisulfide reductase subunit C)
Q8TLB1	Ferredoxin:CoB-CoM heterodisulfide reductase subunit C (EC 1.8.7.3)
Q8TLB2	Ferredoxin:CoB-CoM heterodisulfide reductase subunit B (EC 1.8.7.3)
Q8U082	Translation initiation factor 2 subunit gamma (EC 3.6.5.3) (aIF2-gamma) (eIF-2-gamma)
Q8U0M5	DNA-directed RNA polymerase subunit Rpo1C (EC 2.7.7.6) (DNA-directed RNA polymerase subunit A'')
Q8U2E5	Sulfhydrogenase 1 subunit beta (EC 1.12.98.4) (Sulfhydrogenase I subunit beta) (Sulfur reductase subunit HydB)
Q8U3D6	Acetate--CoA ligase [ADP-forming] II subunit alpha (EC 6.2.1.13) (ADP-forming acetyl coenzyme A synthetase II subunit alpha) (ACS II subunit alpha)
Q8VPF3	3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6) (3-oxoadipate:succinyl-CoA transferase subunit A) (Beta-ketoadipate:succinyl-CoA transferase subunit A)
Q936X3	1-carboxybiuret hydrolase subunit AtzE (EC 3.5.1.131)
Q96XT2	2-oxoacid:ferredoxin oxidoreductase 2, subunit alpha (OFOR2) (EC 1.2.7.11)
Q971B7	V-type ATP synthase alpha chain (EC 7.1.2.2) (Sul-ATPase alpha chain) (V-ATPase subunit A)
Q97ZJ9	DNA-directed RNA polymerase subunit Rpo6 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit K)
Q980A3	DNA-directed RNA polymerase subunit Rpo7 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit E) (DNA-directed RNA polymerase, subunit E')
Q980A5	Translation initiation factor 2 subunit gamma (EC 3.6.5.3) (aIF2-gamma) (eIF-2-gamma)
Q980K0	DNA-directed RNA polymerase subunit Rpo11 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit L)
Q980Z8	DNA-directed RNA polymerase subunit Rpo10 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit N)
Q99KU1	Dehydrodolichyl diphosphate synthase complex subunit Dhdds (EC 2.5.1.87) (Cis-isoprenyltransferase) (CIT) (Cis-IPTase)
Q99MN9	Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)
Q99NA5	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)
Q9AIX6	Benzoyl-CoA oxygenase component A (EC 1.14.13.208) (Benzoyl-CoA 2,3-dioxygenase subunit A) (Benzoyl-CoA dioxygenase reductase component)
Q9ALA2	NAD(P) transhydrogenase subunit alpha (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)
Q9C5A9	ATP synthase subunit beta-3, mitochondrial (EC 7.1.2.2)
Q9CIV8	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK (EC 2.7.1.121)
Q9D051	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)
Q9EVV4	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
Q9F722	Cytochrome b6-f complex iron-sulfur subunit (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein) (Rieske iron-sulfur protein) (ISP) (RISP)
Q9FK02	Ribosomal RNA small subunit methyltransferase, mitochondrial (EC 2.1.1.-) (18S mitochondrial rRNA (adenine(1914)-N(6)/adenine(1915)-N(6))-dimethyltransferase) (Adenosine dimethyl transferase 1B) (Dimethyladenosine transferase 1B)
Q9GPE9	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)
Q9GV45	Oplophorus-luciferin 2-monooxygenase catalytic subunit (19kOLase) (EC 1.13.12.13)
Q9HKT2	Lipoate-protein ligase A subunit 2 (EC 6.3.1.20) (C-terminal domain of LplA) (CTD) (Lipoate--protein ligase subunit 2)
Q9I4X1	2-heptyl-4(1H)-quinolone synthase subunit PqsC (EC 2.3.1.230)
Q9JHK4	Geranylgeranyl transferase type-2 subunit alpha (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit alpha) (Rab geranyl-geranyltransferase subunit alpha) (Rab GG transferase alpha) (Rab GGTase alpha) (Rab geranylgeranyltransferase subunit alpha)
Q9KIP8	D-tagatose-1,6-bisphosphate aldolase subunit KbaY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Ketose 1,6-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)
Q9KJE9	Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsF (EC 2.8.3.15)
Q9KJF0	Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsE (EC 2.8.3.15)
Q9KJF1	(2S)-[(R)-hydroxy(phenyl)methyl]succinyl-CoA dehydrogenase subunit BbsD (EC 1.1.1.429) ((S,R)-2-(alpha-hydroxybenzyl)succinyl-CoA dehydrogenase subunit BbsD)
Q9KWU8	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
Q9LCC1	N,N-dimethylformamidase alpha subunit (EC 3.5.1.56) (N,N-dimethylformamidase light chain)
Q9LCY2	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase) (Glucose-inhibited division protein B)
Q9LD90	H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp-140-associated protein of 57 kDa homolog) (AtNAP57) (Nucleolar protein NAP57 homolog)
Q9LDY2	2-oxoisovalerate dehydrogenase subunit beta 2, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDE1B) (BCKDH E1-beta) (Protein DARK INDUCIBLE 4)
Q9P2J9	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (PDP 2) (EC 3.1.3.43) (Pyruvate dehydrogenase phosphatase catalytic subunit 2) (PDPC 2)
Q9P6Q6	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)
Q9P7W3	Probable ATP-citrate synthase subunit 1 (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase 1) (Citrate cleavage enzyme subunit 1)
Q9PMT7	Holliday junction branch migration complex subunit RuvB (EC 3.6.4.-)
Q9RBG4	2-aminobenzenesulfonate 2,3-dioxygenase subunit beta (EC 1.14.12.14) (2-aminobenzenesulfonate dioxygenase small subunit) (AbsAb)
Q9RFV9	Na(+)-translocating NADH-quinone reductase subunit C (Na(+)-NQR subunit C) (Na(+)-translocating NQR subunit C) (EC 7.2.1.1) (NQR complex subunit C) (NQR-1 subunit C)
Q9S827	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)
Q9SJ89	Ferredoxin-thioredoxin reductase catalytic chain, chloroplastic (FTR-C) (EC 1.8.7.2) (Ferredoxin-thioredoxin reductase subunit B) (FTR-B)
Q9USP8	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)
Q9V1G0	Translation initiation factor 2 subunit gamma (EC 3.6.5.3) (aIF2-gamma) (eIF-2-gamma)
Q9V262	Plant-type L-asparaginase (EC 3.5.1.1) (L-asparaginase I) (L-asparagine amidohydrolase) [Cleaved into: L-asparaginase subunit alpha; L-asparaginase subunit beta]
Q9V2Z4	Acetyl-CoA decarbonylase/synthase complex subunit beta 2 (ACDS complex subunit beta 2) (EC 2.3.1.169) (ACDS complex acyltransferase 2)
Q9VCA5	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)
Q9VZU4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (NADH dehydrogenase (Ubiquinone) 30 kDa subunit)
Q9W3J5	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q9WUM5	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
Q9WYU3	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
Q9X0X2	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)
Q9X404	Methanesulfonate monooxygenase hydroxylase subunit alpha (EC 1.14.13.111) (Methanesulfonic acid monooxygenase hydroxylase large subunit) (Methanesulfonic acid monooxygenase hydroxylase subunit alpha) (MSA monooxygenase hydroxylase subunit alpha) (MSAMO hydroxylase subunit alpha)
Q9X405	Methanesulfonate monooxygenase hydroxylase subunit beta (EC 1.14.13.111) (Methanesulfonic acid monooxygenase hydroxylase small subunit) (Methanesulfonic acid monooxygenase hydroxylase subunit beta) (MSA monooxygenase hydroxylase subunit beta) (MSAMO hydroxylase subunit beta)
Q9X406	Putative methanesulfonate monooxygenase ferredoxin reductase subunit (EC 1.14.13.111) (Methanesulfonic acid monooxygenase ferredoxin reductase subunit) (MSA monooxygenase ferredoxin reductase subunit) (MSAMO ferredoxin reductase subunit)
Q9X4Q8	Na(+)-translocating NADH-quinone reductase subunit F (Na(+)-NQR subunit F) (Na(+)-translocating NQR subunit F) (EC 7.2.1.1) (NQR complex subunit F) (NQR-1 subunit F)
Q9X4V6	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
Q9X697	Phenolic acid decarboxylase (PAD) (Phenolic acid decarboxylase subunit C) (Vanillate decarboxylase) (Vanillate DC) (EC 4.1.1.-)
Q9XJ29	Anthranilate synthase alpha subunit 2, chloroplastic (OsASA2) (EC 4.1.3.27)
Q9XQN8	DNA-directed RNA polymerase subunit alpha (PEP) (EC 2.7.7.6) (Plastid-encoded RNA polymerase subunit alpha) (RNA polymerase subunit alpha)
Q9Y765	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha)
Q9Y8C1	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Common component for nitrate reductase and xanthine dehydrogenase protein H) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)
